date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:50:10	135381/135381	---MCZ	200	added ('OK')	text/html	etag:W/%22db8dd640a984459d9cea47f23ad20037%22	https://thecoffeehouse.com/blogs/blog/nam-moi-uong-khoi-dau-sung-nhan-li-xi-khung-tai-the-coffee-house	D:/Httrack/Demo1/thecoffeehouse.com/blogs/blog/nam-moi-uong-khoi-dau-sung-nhan-li-xi-khung-tai-the-coffee-house.html	(from https://thecoffeehouse.com/blogs/blog/signature-by-the-coffee-house-dau-an-moi-cua-nha-ca-phe)
21:50:12	43868/43868	---M--	200	added ('OK')	image/jpeg	etag:%2258dda943cdbace730590334bf217390c%22	http://file.hstatic.net/1000075078/article/tch206857_stacking_d4325b7f7a5945d7b2abee4eb7ad51d5_grande.jpg	D:/Httrack/Demo1/file.hstatic.net/1000075078/article/tch206857_stacking_d4325b7f7a5945d7b2abee4eb7ad51d5_grande.jpg	(from https://thecoffeehouse.com/blogs/blog/signature-by-the-coffee-house-dau-an-moi-cua-nha-ca-phe)
21:50:58	457473/457473	---M--	200	added ('OK')	image/jpeg	etag:%22f35a5a3e0b654745a894dd23af117d51%22	http://file.hstatic.net/1000075078/article/signaturebythecoffeehouse_03_16b2ab7101e14d62835a4b231e73b65d.jpg	D:/Httrack/Demo1/file.hstatic.net/1000075078/article/signaturebythecoffeehouse_03_16b2ab7101e14d62835a4b231e73b65d.jpg	(from https://thecoffeehouse.com/blogs/blog/signature-by-the-coffee-house-dau-an-moi-cua-nha-ca-phe)
21:51:01	300625/300625	---M--	200	added ('OK')	image/jpeg	etag:%2209e7af2eabc23e2c1a38a34e553942a7%22	http://file.hstatic.net/1000075078/article/dscf6292_d784e8350a0942c1965127ecf57587ee.jpg	D:/Httrack/Demo1/file.hstatic.net/1000075078/article/dscf6292_d784e8350a0942c1965127ecf57587ee.jpg	(from https://thecoffeehouse.com/blogs/blog/chiec-ly-doi-mau-ngan-nguoi-theo-duoi-da-quay-tro-lai)
21:51:07	28967/28967	---M--	200	added ('OK')	image/jpeg	etag:%224741310cfa903f7865bc911172adff2c%22	http://file.hstatic.net/1000075078/file/pc08-16611519634972088005327_10b6874924164f87aa2118eaeb8fbbb7_grande.jpg	D:/Httrack/Demo1/file.hstatic.net/1000075078/file/pc08-16611519634972088005327_10b6874924164f87aa2118eaeb8fbbb7_grande.jpg	(from https://thecoffeehouse.com/blogs/blog/gen-z-trung-thu-lam-gi-cho-bot-nhat)
21:51:09	369733/369733	---M--	200	added ('OK')	image/png	etag:%229ec215c8b51216b8ad47240948e40326%22	http://file.hstatic.net/1000075078/article/tch080120222973_3d8fe3eed19648b0ba55793bf73ff60e_grande.png	D:/Httrack/Demo1/file.hstatic.net/1000075078/article/tch080120222973_3d8fe3eed19648b0ba55793bf73ff60e_grande.png	(from https://thecoffeehouse.com/blogs/blog/signature-by-the-coffee-house-dau-an-moi-cua-nha-ca-phe)
21:51:11	23331/23331	---M--	200	added ('OK')	image/jpeg	etag:%22895ccdfbd39b147e4bce812716936361%22	http://file.hstatic.net/1000075078/file/pc10-1661151974324154783026_d91f078807984bcf8754b0cae3629701_grande.jpg	D:/Httrack/Demo1/file.hstatic.net/1000075078/file/pc10-1661151974324154783026_d91f078807984bcf8754b0cae3629701_grande.jpg	(from https://thecoffeehouse.com/blogs/blog/gen-z-trung-thu-lam-gi-cho-bot-nhat)
21:51:16	23447/23447	---M--	200	added ('OK')	image/jpeg	etag:%223e683815811539d71bb457176294d12e%22	http://file.hstatic.net/1000075078/file/pc18-1661151988199972781373_34e382223cc74e89b62452bb9903c02d_grande.jpg	D:/Httrack/Demo1/file.hstatic.net/1000075078/file/pc18-1661151988199972781373_34e382223cc74e89b62452bb9903c02d_grande.jpg	(from https://thecoffeehouse.com/blogs/blog/gen-z-trung-thu-lam-gi-cho-bot-nhat)
21:51:19	60047/60047	---M--	200	added ('OK')	image/jpeg	etag:%22da8d769283e79a5e608d57fa4cab86b2%22	http://file.hstatic.net/1000075078/file/hitea_bling_bling_fc4b0add4acf45d8b03c717ece79805e_grande.jpg	D:/Httrack/Demo1/file.hstatic.net/1000075078/file/hitea_bling_bling_fc4b0add4acf45d8b03c717ece79805e_grande.jpg	(from https://thecoffeehouse.com/blogs/blog/gen-z-trung-thu-lam-gi-cho-bot-nhat)
21:51:23	38089/38089	---M--	200	added ('OK')	image/jpeg	etag:%228622b3d9c094dc083d878849862fda09%22	http://file.hstatic.net/1000075078/file/pc22-1661141930177416675926_011024ab69c841e4bf5086ca4daf8d9e_grande.jpg	D:/Httrack/Demo1/file.hstatic.net/1000075078/file/pc22-1661141930177416675926_011024ab69c841e4bf5086ca4daf8d9e_grande.jpg	(from https://thecoffeehouse.com/blogs/blog/gen-z-trung-thu-lam-gi-cho-bot-nhat)
21:51:24	27706/27706	---M--	200	added ('OK')	image/jpeg	etag:%22fcef0dc52d01560990460471f131ad7f%22	http://file.hstatic.net/1000075078/file/pc24-1661152020002659948796_4c54cf4b7c444b70b917532183f3416b_grande.jpg	D:/Httrack/Demo1/file.hstatic.net/1000075078/file/pc24-1661152020002659948796_4c54cf4b7c444b70b917532183f3416b_grande.jpg	(from https://thecoffeehouse.com/blogs/blog/gen-z-trung-thu-lam-gi-cho-bot-nhat)
21:51:24	0/0	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Mar%202023%2014:51:26%20GMT	http://theme.hstatic.net/1000075078/1000989727/14/our-coffee_fb_share.jpg?v=49	D:/Httrack/Demo1/theme.hstatic.net/1000075078/1000989727/14/our-coffee_fb_share.1d39c55.delayed	(from https://thecoffeehouse.com/pages/hat-ca-phe-the-coffee-house)
21:51:32	4150520/4150520	---M--	200	added ('OK')	image/png	etag:%229796ed54d6a26ffe71b95e01383e18bf%22	http://file.hstatic.net/1000075078/article/sig-01_f1d45eb29a0a40eeb4bd32a951a6960b.png	D:/Httrack/Demo1/file.hstatic.net/1000075078/article/sig-01_f1d45eb29a0a40eeb4bd32a951a6960b.png	(from https://thecoffeehouse.com/blogs/cua-hang-tp-ho-chi-minh/hcm-the-coffee-house-signature)
21:51:33	231193/231193	---M--	200	added ('OK')	image/jpeg	etag:%2227765163b143805f8ee10e48d5393aeb%22	http://file.hstatic.net/1000075078/article/z3663478710700_0f36930c9ad300ade688f7ed1ddbd4f8_ceb536831696441fa7e8d9a2ad990c44.jpg	D:/Httrack/Demo1/file.hstatic.net/1000075078/article/z3663478710700_0f36930c9ad300ade688f7ed1ddbd4f8_ceb536831696441fa7e8d9a2ad990c44.jpg	(from https://thecoffeehouse.com/blogs/blog/gen-z-trung-thu-lam-gi-cho-bot-nhat)
21:51:33	5594/5594	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e2c1a80b99251b7b94726b41312fb160%22	http://theme.hstatic.net/1000075078/1000989727/14/imagesloaded.pkgd.min.js?v=49	D:/Httrack/Demo1/theme.hstatic.net/1000075078/1000989727/14/imagesloaded.pkgd.min9c55.js	(from https://thecoffeehouse.com/pages/hat-ca-phe-the-coffee-house)
21:51:34	0/0	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Mar%202023%2014:51:37%20GMT	http://theme.hstatic.net/1000075078/1000989727/14/store_fb_share.jpg?v=49	D:/Httrack/Demo1/theme.hstatic.net/1000075078/1000989727/14/store_fb_share.1d79c55.delayed	(from https://thecoffeehouse.com/pages/our-stores)
21:51:35	19779/19779	---MCZ	200	added ('OK')	text/css	etag:W/%2226c92f1366428c2942321b2b8eecd909%22	http://theme.hstatic.net/1000075078/1000989727/14/swiper.min.css?v=49	D:/Httrack/Demo1/theme.hstatic.net/1000075078/1000989727/14/swiper.min9c55.css	(from https://thecoffeehouse.com/pages/our-stores)
